Chương;LV;TT;Nội dung câu hỏi;Đáp án;Thang điểm
Chương 5;Dễ;;CPU lỗi;;
Chương 5;Dễ;12;Máy tính bấm nút nguồn nhưng không có tín hiệu gì (quạt không quay). Nguyên nhân có thể là:;;0,2
Chương 5;Dễ;;RAM lỗi;;
Chương 5;Dễ;;PSU chưa cấp điện;B;
Chương 5;Dễ;;GPU lỗi;;
Chương 5;Dễ;;SSD hỏng;;
Chương 5;Dễ;13;Nếu backup được lưu trên cùng ổ cứng với dữ liệu gốc, rủi ro chính là:;;0,2
Chương 5;Dễ;;Tốc độ chậm;;
Chương 5;Dễ;;Mất dữ liệu khi ổ cứng hỏng;B;
Chương 5;Dễ;;Ổ cứng lỗi;;
Chương 5;Dễ;;Không phục hồi lại được;;
Chương 5;Dễ;14;Nếu dây SATA tiếp xúc không tốt thì:;;0,2
Chương 5;Dễ;;HDD không nhận;A;
Chương 5;Dễ;;RAM lỗi;;
Chương 5;Dễ;;Máy không lên hình;;
Chương 5;Dễ;;Máy tính không khởi động;;
Chương 5;Dễ;15;Nếu mainboard không hỗ trợ NVMe:;;0,2
Chương 5;Dễ;;Không nhận ổ;A;
Chương 5;Dễ;;Không nhận RAM;;
Chương 5;Dễ;;Không nhận GPU;;
Chương 5;Dễ;;SSD cháy;;
Chương 5;Dễ;16;Nếu thiếu bộ phận tản nhiệt cho CPU thì?;;0,2
Chương 5;Dễ;;Máy chạy bình thường;;
Chương 5;Dễ;;CPU quá nhiệt;B;
Chương 5;Dễ;;RAM hỏng;;
Chương 5;Dễ;;SSD hỏng;;
Chương 5;Dễ;17;Sau khi lắp CPU nhưng máy tự tắt sau vài giây, nguyên nhân có thể là:;;0,2
Chương 5;Dễ;;Không cắm SSD;;
Chương 5;Dễ;;CPU quá nóng;B;
Chương 5;Dễ;;Chuột lỗi;;
Chương 5;Dễ;;Thiếu RAM;;
;;;Nhóm câu hỏi ở mức độ VẬN DỤNG (B);;
Chương 5;Trung bình;1;"BIOS không nhận SSD NVMe.
Nguyên nhân có thể:";;0,2
Chương 5;Trung bình;;mainboard không hỗ trợ NVMe;A;
Chương 5;Trung bình;;CPU lỗi;;
Chương 5;Trung bình;;quên cắm dây HDMI vào GPU;;
Chương 5;Trung bình;;chưa cắm dây CPU fan;;
Chương 5;Trung bình;2;Khi bật máy tính lên bíp liên tục. Nguyên nhân thường là:;;0,2
Chương 5;Trung bình;;RAM lỗi;A;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;HDD lỗi;;
Chương 5;Trung bình;;GPU lỗi;;
Chương 5;Trung bình;3;"Máy bấm nút nguồn nhưng không có tín hiệu gì, quạt không quay.
Nguyên nhân có thể là:";;0,2
Chương 5;Trung bình;;RAM hỏng;;
Chương 5;Trung bình;;PSU chưa cấp điện;B;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;GPU lỗi;;
Chương 5;Trung bình;4;Máy chạy chậm dù CPU mạnh, nguyên nhân có thể:;;0,2
Chương 5;Trung bình;;GPU mạnh;;
Chương 5;Trung bình;;RAM lớn;;
Chương 5;Trung bình;;PSU mạnh;;
Chương 5;Trung bình;;HDD thay vì SSD;D;
Chương 5;Trung bình;5;Máy chạy rất chậm dù CPU mạnh, nguyên nhân có thể:;;0,2
Chương 5;Trung bình;;Đang dùng HDD;A;
Chương 5;Trung bình;;GPU yếu;;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;;PSU mạnh;;
Chương 5;Trung bình;6;Máy tính bật lên tự tắt sau 5 giây. Nguyên nhân có thể:;;0,2
Chương 5;Trung bình;;CPU quá nhiệt;B;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;RAM lớn;;
Chương 5;Trung bình;;GPU yếu;;
Chương 5;Trung bình;7;Máy tính bật nguồn, quạt quay nhưng không lên hình. Nguyên nhân phổ biến nhất:;;0,2
Chương 5;Trung bình;;RAM lỏng;A;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;HDD lỗi;;
Chương 5;Trung bình;;PSU chưa cấp điện;;
Chương 5;Trung bình;8;Máy tính bật nhưng BIOS không nhận CPU. Nguyên nhân có thể:;;0,2
Chương 5;Trung bình;;BIOS chưa update;A;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;;Dây power case cắm sai;;
Chương 5;Trung bình;9;Máy tính bật nhưng quạt CPU không quay. Nguyên nhân có thể là:;;0,2
Chương 5;Trung bình;;Chưa cắm dây CPU fan;A;
Chương 5;Trung bình;;Dây power case cắm sai;;
Chương 5;Trung bình;;PSU không cấp điện;;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;10;Máy tính bị treo tạm thời khi mở nhiều ứng dụng. Nguyên nhân có thể?;;0,2
Chương 5;Trung bình;;Thiếu RAM;A;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;GPU lỗi;;
Chương 5;Trung bình;;PSU yếu;;
Chương 5;Trung bình;11;Máy tính boot nhưng không vào hệ điều hành Windows, lỗi là?;;0,2
Chương 5;Trung bình;;SSD chưa cài hệ điều hành;A;
Chương 5;Trung bình;;GPU lỗi;;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;;RAM không tương thích;;
Chương 5;Trung bình;12;Máy tính boot vào BIOS liên tục. Nguyên nhân có thể là?;;0,2
Chương 5;Trung bình;;BIOS chưa update;;
Chương 5;Trung bình;;Quên cắm dây HDMI vào GPU;;
Chương 5;Trung bình;;Không có ổ boot;C;
Chương 5;Trung bình;;CPU lỗi;;
Chương 5;Trung bình;13;Máy tính không lưu được thời gian BIOS sau khi tắt máy, nguyên nhân thường là:;;0,2
Chương 5;Trung bình;;Lỗi ổ cứng hoặc đầy dữ liệu;;
Chương 5;Trung bình;;Pin CMOS hết;B;
Chương 5;Trung bình;;Lỗi driver;;
Chương 5;Trung bình;;Nguồn không đủ công suất;;
Chương 5;Trung bình;14;"Máy tính treo hoặc tắt khi sử dụng phần mềm xử lý đồ hoạ.
Nguyên nhân:";;0,2
Chương 5;Trung bình;;RAM yếu;;
Chương 5;Trung bình;;SSD nhỏ;;
Chương 5;Trung bình;;PSU yếu;A;
Chương 5;Trung bình;;Dùng HDD;;
Chương 5;Trung bình;15;Nếu CPU quá nóng, nguyên nhân thường là?;;0,2
Chương 5;Trung bình;;Thiếu keo tản nhiệt;A;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;GPU lỗi;;
Chương 5;Trung bình;16;Nếu CPU quá nóng, thiết bị nào cần kiểm tra?;;0,2
Chương 5;Trung bình;;Quạt CPU;A;
Chương 5;Trung bình;;RAM;;
Chương 5;Trung bình;;VGA;;
Chương 5;Trung bình;;Nguồn;;
Chương 5;Trung bình;17;Nếu máy quá nóng khi chạy nhiều ứng dụng:;;0,2
Chương 5;Trung bình;;tản nhiệt kém;A;
Chương 5;Trung bình;;RAM nhỏ;;
Chương 5;Trung bình;;SSD nhỏ;;
Chương 5;Trung bình;;PSU mạnh;;
Chương 5;Trung bình;18;Phần mềm ứng dụng chạy chậm, nguyên nhân có thể là:;;0,2
Chương 5;Trung bình;;RAM quá nhiều;;
Chương 5;Trung bình;;SSD lớn;;
Chương 5;Trung bình;;CPU yếu;C;
Chương 5;Trung bình;;Chưa tạo phân vùng;;
Chương 5;Trung bình;19;"RAM bus 3200 MHz lắp vào main hỗ trợ 2666 MHz. Ram sẽ nhận:
";;0,2
Chương 5;Trung bình;;2666 MHz;A;
Chương 5;Trung bình;;3200 MHz;;
Chương 5;Trung bình;;(2666 + 3200) MHz;;
Chương 5;Trung bình;;(2666 + 3200)/2 MHz;;
Chương 5;Trung bình;20;SSD SATA lắp vào nhưng không xuất hiện ổ đĩa trong hệ điều hành Windows. Nguyên nhân:;;0,2
Chương 5;Trung bình;;CPU lỗi;;
Chương 5;Trung bình;;chưa tạo phân vùng;B;
Chương 5;Trung bình;;mainboard không hỗ trợ NVMe;;
Chương 5;Trung bình;;BIOS chưa update;;
Chương 5;Trung bình;21;"USB không hoạt động sau khi lắp main mới:
";;0,2
Chương 5;Trung bình;;Thiếu driver chipset;A;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;CPU lỗi;;
Chương 5;Trung bình;22;"Windows không nhận chính xác thiết bị GPU.
Nguyên nhân:";;0,2
Chương 5;Trung bình;;Chưa cài driver;A;
Chương 5;Trung bình;;RAM lỗi;;
Chương 5;Trung bình;;SSD lỗi;;
Chương 5;Trung bình;;CPU lỗi;;
Chương 5;Trung bình;23;Máy phát 1 tiếng bíp dài + 2 tiếng bíp ngắn, thường báo lỗi:;;0,2
Chương 5;Trung bình;;Lỗi ổ cứng;;
Chương 5;Trung bình;;Lỗi RAM;;
Chương 5;Trung bình;;Lỗi VGA;C;
Chương 5;Trung bình;;Lỗi nguồn;;
Chương 5;Trung bình;24;Máy tính bật nguồn nhưng không nghe tiếng bíp POST, nguyên nhân có thể là:;;0,2
Chương 5;Trung bình;;Không có Loa mainboard;A;
Chương 5;Trung bình;;RAM hỏng;;
Chương 5;Trung bình;;Không có ổ cứng;;
Chương 5;Trung bình;;Không có VGA;;
Chương 5;Trung bình;25;Máy tính bật nguồn nhưng tự khởi động lại liên tục, nguyên nhân phần cứng có thể là:;;0,2
Chương 5;Trung bình;;Lỗi ổ cứng hoặc đầy dữ liệu;;
Chương 5;Trung bình;;RAM yếu;;
Chương 5;Trung bình;;Lỗi VGA;;
Chương 5;Trung bình;;Nguồn yếu hoặc không ổn định;D;
Chương 5;Trung bình;26;"Máy tính phát ra ""tiếng bíp dài liên tục khi khởi động"", thường là lỗi gì?";;0,2
Chương 5;Trung bình;;Lỗi ổ cứng;;
Chương 5;Trung bình;;Lỗi RAM;B;
Chương 5;Trung bình;;Lỗi VGA;;
Chương 5;Trung bình;;Lỗi nguồn;;
Chương 5;Trung bình;27;Máy Windows khởi động vào Safe Mode. Điều này thường dùng để:;;0,2
Chương 5;Trung bình;;Nguồn PSU không ổn định;;
Chương 5;Trung bình;;Sửa lỗi hệ thống hoặc driver;B;
Chương 5;Trung bình;;kiểm tra key bản quyền;;
Chương 5;Trung bình;;Sửa lỗi ổ cứng đầy;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;0,2
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;0,2
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;0,2
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;0,2
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;0,2
